ZIP_CODE,LAND_SQUARE_FEET,YEAR_BUILT,prop_cat,SALE_PRICE
10457.0,1622.0,1899.0,0,458000
10457.0,1646.0,1899.0,0,275000
10457.0,1694.0,1899.0,0,388500
10458.0,1095.0,1910.0,1,110000
10458.0,1095.0,1910.0,1,165000
10457.0,1986.0,1899.0,0,420000
10457.0,2000.0,1993.0,1,505000
10457.0,2000.0,1993.0,1,630000
10456.0,1900.0,1994.0,1,535000
10457.0,2000.0,1899.0,1,365000
10457.0,1556.0,1899.0,1,310000
10457.0,2250.0,1995.0,1,645000
10458.0,2033.0,1997.0,1,640000
10457.0,2785.0,1998.0,1,610000
10457.0,2483.0,1901.0,1,461370
10457.0,899.0,1901.0,1,500000
10458.0,1316.0,1901.0,1,477134
10457.0,1960.0,1901.0,1,360000
10458.0,1380.0,1901.0,1,440000
10458.0,1420.0,1901.0,1,649500
10458.0,2085.0,1901.0,1,370000
10457.0,3567.0,1899.0,0,462615
10456.0,2500.0,1931.0,0,1800000
10458.0,4336.0,1909.0,0,1400000
10458.0,4025.0,1910.0,0,203650
10457.0,19749.0,2007.0,0,4463828
10469.0,2233.0,1945.0,0,300000
10469.0,1710.0,1945.0,0,470000
10469.0,1710.0,1945.0,0,339964
10469.0,2375.0,1935.0,0,325000
10469.0,1890.0,1950.0,1,460000
10469.0,2283.0,1910.0,0,440000
10469.0,2375.0,1915.0,0,498200
10469.0,1900.0,1940.0,0,425000
10469.0,1900.0,1940.0,0,350000
10469.0,1900.0,1940.0,0,315000
10469.0,1900.0,1940.0,0,430000
10469.0,1900.0,1940.0,0,420000
10469.0,1739.0,1955.0,0,270750
10469.0,1800.0,1955.0,0,436000
10469.0,1899.0,1955.0,0,453200
10469.0,1900.0,1930.0,0,365040
10469.0,1900.0,1935.0,0,324480
10469.0,1775.0,1935.0,0,435000
10469.0,1775.0,1935.0,0,510000
10469.0,2367.0,1945.0,0,548000
10469.0,2500.0,1930.0,0,550000
10469.0,2500.0,1935.0,0,515000
10469.0,2050.0,1920.0,0,335000
10469.0,1800.0,1950.0,0,500000
10469.0,1520.0,1940.0,0,450000
10469.0,3159.0,1930.0,0,450000
10469.0,2375.0,1920.0,0,115000
10469.0,2150.0,1965.0,1,499550
10469.0,1710.0,1950.0,0,485000
10469.0,1710.0,1950.0,0,62891
10469.0,1710.0,1950.0,0,520000
10469.0,1710.0,1950.0,0,460000
10469.0,1710.0,1950.0,0,375180
10469.0,1710.0,1950.0,0,323000
10469.0,1710.0,1950.0,0,515000
10469.0,2090.0,1960.0,0,499000
10469.0,2090.0,1960.0,0,265000
10469.0,2090.0,1960.0,0,540000
10469.0,2090.0,1960.0,0,300000
10469.0,1963.0,1960.0,0,434000
10469.0,1710.0,1950.0,0,400000
10469.0,2660.0,1950.0,0,377000
10469.0,2653.0,1960.0,0,360000
10469.0,2653.0,1960.0,0,465000
10469.0,3056.0,1960.0,0,545000
